ident,type,name,latitude_deg,longitude_deg,municipality,iso_region,icao_code,gps_code
YHYN,heliport,Hayman Island Heliport,-20.0599,148.8834,Hayman Island Resort,AU-QLD,,YHYN
YIBO,small_airport,Iron Bridge Mine Airport,-21.287575,118.88252,Japal Camp,AU-WA,,YIBO
YIDK,small_airport,Indulkana Airport,-26.965435,133.321989,Indulkana,AU-SA,YIDK,YIDK
YIDR,small_airport,Idracowra Airport,-25.06329917907715,133.73300170898438,,AU-NT,,YIDR
YIFF,small_airport,Iffley HS Airstrip,-22.236667,148.433056,Iffley Homestead,AU-QLD,,YIFF
YIFL,small_airport,Innisfail Airport,-17.559401,146.011993,,AU-QLD,YIFL,YIFL
YIFY,small_airport,Iffley Airport,-18.899999618530273,141.2169952392578,,AU-QLD,YIFY,YIFY
YIGM,small_airport,Ingham Airport,-18.664149,146.145804,,AU-QLD,YIGM,YIGM
YIGR,small_airport,Ingomar Airport,-29.63330078125,134.79299926757812,,AU-SA,,YIGR
YIKL,small_airport,Baikal Airport,-22.7632999420166,136.16299438476562,,AU-NT,,YIKL
YIKM,small_airport,Inkerman Airport,-16.229225,141.434607,Inkerman,AU-QLD,YIKM,YIKM
YILA,small_airport,Milawa (Brown Brothers) Airport,-36.456197,146.433063,Milawa,AU-VIC,,YILA
YILF,small_airport,Ilfracombe Airport,-23.475813,144.529811,,AU-QLD,,YILF
YILT,heliport,Ulladulla Medical Heliport,-35.32076,150.439306,Milton,AU-NSW,,YXUA
YILW,small_airport,Inglewood Airport,-28.4188,151.0955,Inglewood,AU-QLD,,YILW
YIMA,small_airport,Imanpa Airport,-25.130954,132.565738,,AU-NT,,YIMA
YIMB,small_airport,Kimba Airport,-33.093182,136.466315,Kimba,AU-SA,,YIMB
YIMP,small_airport,Impadna Airport,-25.153831,133.579681,,AU-NT,,YIMP
YIMT,small_airport,Innamincka Township Airport,-27.74169921875,140.7449951171875,Innamincka Township,AU-SA,,YIMT
YING,small_airport,Ingelara Airport,-24.997027028,148.333282471,Rewan,AU-QLD,,YING
YINJ,small_airport,Injune Airport,-25.851,148.5497,Injune,AU-QLD,YINJ,YINJ
YINN,small_airport,Innamincka Airport,-27.697589,140.739498,,AU-SA,YINN,YINN
YINO,small_airport,Inverell North Airport,-29.773774,151.165974,,AU-NSW,,YINO
YINV,small_airport,Inverleigh Airport,-18.005244,140.535543,,AU-QLD,,YINV
YINW,small_airport,Inverway Airport,-17.8411006927,129.643005371,Inverway,AU-NT,YINW,YINW
YISD,small_airport,Isis Downs Airport,-24.216283,144.626341,,AU-QLD,,YISD
YISF,small_airport,Isisford Airport,-24.25830078125,144.4250030517578,,AU-QLD,YISF,YISF
YISV,small_airport,Innesvale Airport,-15.383299827575684,131.26699829101562,,AU-NT,,YISV
YITT,small_airport,Mitta Mitta Airport,-36.513879,147.359018,,AU-VIC,,YITT
YIVE,small_airport,Inverloch Airport,-38.612709,145.733481,Inverloch,AU-VIC,,YIVE
YIVL,medium_airport,Inverell Airport,-29.888299942,151.143997192,Inverell,AU-NSW,YIVL,YIVL
YIVO,small_airport,Ivanhoe Airport,-32.882381,144.310677,Ivanhoe,AU-NSW,,YIVO
YJAB,small_airport,Jabiru Airport,-12.658056,132.894638,,AU-NT,YJAB,YJAB
YJAC,small_airport,Jacinth Ambrosia Airport,-30.901,132.183667,,AU-SA,,YJAC
YJAK,small_airport,Jackson Airport,-27.6382999420166,142.4080047607422,,AU-QLD,,YJAK
YJAM,small_airport,Jameson Airport,-25.850000381469727,127.68299865722656,,AU-WA,,YJAM
YJBY,small_airport,Jervis Bay Airport,-35.145811,150.696285,Jervis Bay Territory,AU-ACT,YJBY,YJBY
YJCO,small_airport,Jericho Airport,-42.368329,147.33605,Jericho,AU-TAS,,YJCO
YJDA,small_airport,Jundah Airport,-24.838045,143.061962,Jundah,AU-QLD,YJDA,YJDA
YJEM,small_airport,Jemalong Airport,-32.523151,147.579796,,AU-NSW,,YJEM
YJER,small_airport,Jerilderie Airport,-35.373032,145.723152,,AU-NSW,YJER,YJER
YJEY,small_airport,Jeedamya Airport,-29.408029,121.271163,,AU-WA,,YJEY
YJGP,small_airport,Jerramungup Airport,-33.918212,118.904482,,AU-WA,,YJGP
YJIG,small_airport,Jiggalong Mission Airport,-23.36669921875,120.78299713134766,,AU-WA,,YJIG
YJIN,small_airport,Jindabyne Airport,-36.429087,148.599722,Jindabyne,AU-NSW,,YJIN
YJLC,small_airport,Julia Creek Airport,-20.66830062866211,141.72300720214844,,AU-QLD,YJLC,YJLC
YJNB,small_airport,Jurien Bay Airport,-30.302699,115.055551,Jurien Bay,AU-WA,YJUR,YJUR
YJNK,small_airport,Jinka Airport,-22.950000762939453,135.73300170898438,,AU-NT,,YJNK
YJNY,small_airport,Jonroy Airport,-16.5,144.39999389648438,,AU-QLD,,YJNY
YJRO,small_airport,Jericho Airport,-23.585154,146.132981,,AU-QLD,,YJRO
YJST,small_airport,Hubert Wilkins Airstrip,-33.1920845053,138.615531921,Jamestown,AU-SA,,YJST
YJUK,small_airport,Tjukurla Airport,-24.370710372924805,128.7393341064453,,AU-WA,,YJUK
YJUN,small_airport,Jundee Airport,-26.4217,120.577003,,AU-WA,YJUN,YJUN
YJVM,small_airport,Jervois Mine Airport,-22.63330078125,136.26699829101562,,AU-NT,,YJVM
